N,P,K,temperature,humidity,ph,rainfall,label
102,22,108,21.95023126479915,84.46824786311838,5.6709019601402755,263.2314641694804,Rice
92,130,87,30.669724005123637,44.944941454744715,5.565175725298049,258.73285005506796,Grapes
14,140,107,19.223886940484988,60.505844291846685,7.627400472735469,132.19256910098918,Grapes
106,50,160,27.334528920237663,72.24785902486671,8.949500475609561,215.26612762623864,Apple
71,108,21,14.243458301736059,74.42614357366077,7.398850504917288,174.86432928612896,Wheat
20,139,10,30.68158755003274,96.21428505904221,8.960307063339023,257.1217996013022,Grapes
102,90,151,24.734322289340355,59.695235978348386,5.193421516038592,107.58555947058593,Apple
121,93,188,14.758680145560739,48.375881383800774,6.824811870495879,165.58092719971788,Cotton
74,26,32,17.323806266135975,96.01851187828689,6.383433850029286,154.93351919486503,Maize
87,96,198,30.659374290589504,69.22148021219482,3.5745273568198157,118.38581969940672,Apple
116,33,42,22.891956081316405,39.64093063978378,7.0635977161007375,267.8245079466715,Rice
99,17,123,15.10811805947771,24.875925104707118,7.733755674535519,66.11406305618486,Maize
103,6,41,37.04431875881269,86.45968712600559,7.288252188282049,61.56340178675353,Moth Beans
130,33,119,29.681650578653127,45.14761784029703,8.212191352213898,180.38085081972488,Cotton
52,31,72,36.74833711016205,70.80039603734107,7.156572982099694,202.78339593581387,Rice
1,54,181,21.27146732452202,54.49021206546724,3.927201631044844,74.10415270222911,Apple
87,99,47,22.672929948198238,31.1079610623733,4.2452513541421535,128.6194489467855,Coffee
37,92,168,35.020292312602564,65.74504834135999,7.3174372962812955,283.1447483480908,Apple
129,48,62,24.13144073516523,19.21874392975868,5.2598668286312975,88.55964350800737,Cotton
20,26,17,29.452544227645483,49.54745154892253,4.009728825822501,205.80427518863556,Rice
57,101,56,16.163448022869474,61.00888481107571,6.2494575580706995,225.76153144793025,Rice
21,7,62,21.844412886117105,51.5000397741978,7.0476646277353945,144.57977845131435,Maize
88,122,36,12.40473608166237,78.3858070715852,5.603974325437482,280.6322243191641,Grapes
48,23,109,14.814617047607282,85.20154609089687,8.110775694244978,224.79057239082377,Rice
58,27,192,8.827547725814828,80.32690436685331,7.620131891847966,147.30303320132958,Apple
14,34,87,9.94653950814088,17.337913511814982,5.630037510986701,178.27518609375412,Wheat
50,43,190,37.336687636766335,30.69507425835361,8.331184185014788,212.546537272178,Apple
107,112,103,15.87672789799346,60.14824579668459,7.651648272211427,184.62887015932267,Maize
54,115,108,28.168672717516856,94.39469547816691,7.579650423794574,264.2779283036491,Rice
63,29,188,33.30171120494866,85.80628265448205,7.0419372850372355,119.21504811395153,Apple
130,132,32,24.879285409707677,86.45796771825495,3.572893875766738,103.36823573551376,Cotton
50,115,133,13.271819402451522,40.07590466333204,7.957645974252091,79.44721127968347,Wheat
134,140,174,30.06099997021606,50.93251914876842,5.906667463098602,30.503665121957447,Cotton
20,110,52,26.327341174907826,54.480711469170615,9.532702145015396,31.957882097655386,Maize
72,76,44,30.15251720894335,27.533956168092296,8.735102534894114,261.8753436843806,Rice
17,133,101,31.276601387426947,16.671859201023242,7.261244605000398,208.59329470084222,Grapes
131,112,195,37.28198273639455,95.43364935360445,5.113964683643324,203.62801149134313,Cotton
88,9,204,25.54804777677993,34.70128236706158,4.803791316977066,190.87070366389833,Apple
59,7,118,18.775920490565575,34.63560572023229,5.678462961136315,256.0829222249612,Rice
13,136,136,27.735165061486924,21.17059862411332,6.550034838912119,153.51420533504444,Grapes
8,108,170,10.798468709884684,93.85166666716495,5.394819264249262,261.9742103392075,Apple
89,68,159,35.00400169499032,63.85739188482039,6.79554877051189,119.92571727866249,Apple
52,110,141,12.285925531075346,71.36516971278044,4.55837072328439,277.6246862062672,Rice
129,102,115,18.373010866265894,92.39561230462252,9.7573620020832,214.22664046258475,Cotton
83,14,148,32.61976511428273,43.7233345254679,4.190717151775961,91.49524381479078,Coffee
91,132,188,26.241521447256787,67.44962875787523,9.464442493787981,176.81560822943777,Grapes
110,50,80,20.29415719210131,17.33675310668432,9.346899272977247,168.18249609373504,Chickpea
7,70,35,22.624321253750626,30.06243742787712,6.8623070836447875,58.33587244103284,Maize
34,116,123,33.75278388150366,85.48713923773505,8.13942573975094,184.3655277986707,Maize
80,17,146,18.72812807294885,79.94207864509687,6.290709107024562,107.5104033933143,Maize
49,141,29,34.1937707965154,44.15527146531463,7.532221296271604,34.55295717306947,Grapes
103,90,38,11.373525384519393,46.40571398858227,5.67968599949516,283.726411842425,Rice
131,94,71,31.48251436649202,59.88568128560783,5.42741772662685,198.334322599872,Cotton
1,62,156,33.5483908851983,14.020726402921571,7.200670631484888,263.78346306009547,Apple
133,58,122,14.109075462850292,34.747012899270395,6.688029914777474,207.94356939368438,Cotton
53,16,77,21.366118745268253,31.907935540306443,7.209032762559879,119.2414664149514,Maize
105,18,30,13.632593420178745,35.54153342047965,5.334627720236947,162.52728410740957,Wheat
3,125,152,29.43284056663116,83.30790245787595,5.84853012362877,207.85759937651522,Grapes
53,125,196,24.432154827400375,38.051951662994114,4.03694694802502,286.95014640599965,Grapes
43,24,108,27.351441723882974,30.47083369631274,3.8345687825421164,90.52010963583162,Coffee
13,79,14,14.537419435121366,57.36665762820071,5.122125629907304,263.2436222975047,Rice
94,74,71,14.982979171930651,88.44547312805494,3.975179899715493,276.8936298718069,Rice
47,60,156,10.011721904889267,34.75607453002499,4.1641581352623405,206.37551307518993,Apple
14,105,9,18.20437202771531,20.75411688018069,8.702741794521199,278.8921224175719,Rice
39,136,199,25.144544110943308,44.65080728307116,3.7487916609068117,130.61024731870845,Grapes
81,115,190,33.851699488722005,78.2980569125881,7.717233881182354,284.93849693924307,Apple
110,129,31,28.27428146579348,61.35938684375234,5.244369592418563,215.37363985214103,Grapes
52,136,117,21.51357264327274,84.24422978339388,9.07789235653201,31.67760334242971,Grapes
23,24,19,36.63110734030882,96.52492469439412,6.603950621295997,272.11064724569667,Rice
123,142,167,29.80195985681429,82.16897300063907,5.455689339698084,154.68344091122754,Cotton
40,28,109,35.96082392358646,65.9270647805628,6.812889188412381,147.97090176823752,Moth Beans
14,41,185,24.20556881954724,56.42737657250472,5.944531321889721,177.47771646233832,Apple
44,58,48,16.360004823959677,17.445941425950934,7.111526813886913,61.52890400240136,Chickpea
